Product id,trim  and clean product_id,clean product_id,category,clean(trim(discounted_price)),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")
",Convert Text to Numbers in Excel (Browser Version),cleantrim(),"SUBSTITUTE(SUBSTITUTE(F2, ""?"", """"), "","", """")",Convert Text to Numbers in Excel (Browser Version),discount_percentage,rating,rating_count,"user_id (LEFT(, FIND("","", A2)-1) use this if id has too long strings)",cleantrimuserid,product_link
B07JW9H4J13,B07JW9H4J13,B07JW9H4J13,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹219, 219 ,$219.00,₹700,700,$700.00,69%,4.4,"4,26,973",AF2XXVO7JUBUVAOBTJ3MNH4DGUFQ,AF2XXVO7JUBUVAOBTJ3MNH4DGUFQ,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14
B07JW9H4J14,B07JW9H4J14,B07JW9H4J14,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹350, 350 ,$350.00,₹899,899,$899.00,61%,4.2,"2,262",AGSGSRTEZBQY64WO2HKQTV7TWFSA,AGSGSRTEZBQY64WO2HKQTV7TWFSA,https://www.amazon.in/Portronics-Konnect-Delivery-Support-Braided/dp/B085DTN6R2/ref=sr_1_15?qid=1672909124&s=electronics&sr=1-15
B07JW9H4J15,B07JW9H4J15,B07JW9H4J15,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹159, 159 ,$159.00,₹399,399,$399.00,60%,4.1,"4,768",AHEVOQADJSSRX7DS325HSFLMP7VQ,AHEVOQADJSSRX7DS325HSFLMP7VQ,https://www.amazon.in/Portronics-Konnect-POR-1401-Charging-Function/dp/B09KLVMZ3B/ref=sr_1_16?qid=1672909124&s=electronics&sr=1-16
B07JW9H4J16,B07JW9H4J16,B07JW9H4J16,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349, 349 ,$349.00,₹399,399,$399.00,13%,4.4,"18,757",AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,https://www.amazon.in/Mi-Braided-USB-Type-C-Cable/dp/B083342NKJ/ref=sr_1_17?qid=1672909124&s=electronics&sr=1-17
B07JW9H4J17,B07JW9H4J17,B07JW9H4J17,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,999", 13999 ,"$13,999.00","₹24,999",24999,"$24,999.00",44%,4.2,"32,840",AHBNKB74LGTYUOKPAJBSKNFV45CA,AHBNKB74LGTYUOKPAJBSKNFV45CA,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_18?qid=1672909124&s=electronics&sr=1-18
B07JW9H4J18,B07JW9H4J18,B07JW9H4J18,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249, 249 ,$249.00,₹399,399,$399.00,38%,4,"43,994",AFNYIBWKJLJQKY4BGK77ZOTVMORA,AFNYIBWKJLJQKY4BGK77ZOTVMORA,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_19?qid=1672909124&s=electronics&sr=1-19
B07JW9H4J19,B07JW9H4J19,B07JW9H4J19,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹199, 199 ,$199.00,₹499,499,$499.00,60%,4.1,"13,045",AEO5FHWNOSFBT554DKQAG4ICBGFQ,AEO5FHWNOSFBT554DKQAG4ICBGFQ,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_20?qid=1672909124&s=electronics&sr=1-20
B07JW9H4J20,B07JW9H4J20,B07JW9H4J20,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹13,490", 13490 ,"$13,490.00","₹21,990",21990,"$21,990.00",39%,4.3,"11,976",AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_21?qid=1672909124&s=electronics&sr=1-21
B07JW9H4J21,B07JW9H4J21,B07JW9H4J21,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹970, 970 ,$970.00,"₹1,799",1799,"$1,799.00",46%,4.5,815,AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22
B07JW9H4J22,B07JW9H4J22,B07JW9H4J22,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹279, 279 ,$279.00,₹499,499,$499.00,44%,3.7,"10,962",AFSMISGEYDYIP3Z42UTQU4AKOYZQ,AFSMISGEYDYIP3Z42UTQU4AKOYZQ,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_23?qid=1672909124&s=electronics&sr=1-23
